iter	MultiClass
0	0.9905975885
1	0.8897609992
2	0.796433283
3	0.7343285817
4	0.6713079417
5	0.6219272879
6	0.5857617971
7	0.5333811433
8	0.4998384459
9	0.461739322
10	0.4260667001
11	0.3989624395
12	0.3809867147
13	0.3583611372
14	0.3361516976
15	0.3135545571
16	0.2961904554
17	0.2799788476
18	0.2642185769
19	0.2511374737
20	0.2378725663
21	0.2289103199
22	0.2195417448
23	0.2087585613
24	0.1997368376
25	0.1901820955
26	0.1801920193
27	0.173287645
28	0.1676249506
29	0.1603470856
30	0.1550412871
31	0.1507909692
32	0.147118648
33	0.1424406136
34	0.1375382107
35	0.133988256
36	0.1292074334
37	0.1246128495
38	0.1211976025
39	0.1179108082
40	0.1154811622
41	0.1128317306
42	0.1093857043
43	0.1074936421
44	0.1051251187
45	0.1031807983
46	0.1009823791
47	0.09822387502
48	0.09575963023
49	0.09411650218
