iter	Passed	Remaining
0	141	6947
1	142	3419
2	143	2242
3	144	1659
4	145	1305
5	145	1068
6	146	899
7	147	771
8	147	672
9	148	593
10	148	527
11	149	473
12	150	427
13	150	387
14	151	353
15	151	322
16	152	295
17	152	271
18	153	250
19	154	231
20	154	214
21	155	198
22	157	184
23	157	171
24	158	158
25	159	146
26	159	135
27	160	125
28	160	116
29	161	107
30	161	99
31	162	91
32	162	83
33	163	76
34	164	70
35	164	64
36	165	58
37	166	52
38	167	47
39	168	42
40	169	37
41	170	32
42	170	27
43	171	23
44	171	19
45	172	15
46	173	11
47	173	7
48	174	3
49	174	0
